repo_name,week,n_prs,mean_log_hours,mean_hours,merge_rate,is_treated_repo,treatment_date,event_time_weeks,post,treated,treated_x_post,event_quarter,eq_m8,eq_m7,eq_m6,eq_m5,eq_m4,eq_m3,eq_m2,eq_0,eq_1,eq_2,eq_3,eq_4,eq_5,eq_6,eq_7,eq_8
AUTOMATIC1111/stable-diffusion-webui,2023-06-26,18,4.802197486483389,201.61111111111111,0.0,True,2022-10-11,37.0,1,1,1,2.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AUTOMATIC1111/stable-diffusion-webui,2023-07-03,24,3.495819403256738,75.83333333333333,0.0,True,2022-10-11,38.0,1,1,1,2.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AUTOMATIC1111/stable-diffusion-webui,2023-07-10,23,2.025039903576284,36.0,0.0,True,2022-10-11,39.0,1,1,1,3.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
AUTOMATIC1111/stable-diffusion-webui,2023-07-17,30,2.076161896759894,180.5,0.0,True,2022-10-11,40.0,1,1,1,3.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
AUTOMATIC1111/stable-diffusion-webui,2023-07-24,35,1.9278093399466176,133.65714285714284,0.0,True,2022-10-11,41.0,1,1,1,3.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
AUTOMATIC1111/stable-diffusion-webui,2023-07-31,30,2.4473971863489377,132.1,0.0,True,2022-10-11,42.0,1,1,1,3.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
AUTOMATIC1111/stable-diffusion-webui,2023-08-07,26,2.3281805541808827,167.1153846153846,0.0,True,2022-10-11,43.0,1,1,1,3.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
AUTOMATIC1111/stable-diffusion-webui,2023-08-14,40,1.5564581661342345,90.1,0.0,True,2022-10-11,44.0,1,1,1,3.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
AUTOMATIC1111/stable-diffusion-webui,2023-08-21,21,2.272028520979719,316.23809523809524,0.0,True,2022-10-11,45.0,1,1,1,3.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
AUTOMATIC1111/stable-diffusion-webui,2023-08-28,29,4.372520784332536,477.0689655172414,0.0,True,2022-10-11,46.0,1,1,1,3.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
AUTOMATIC1111/stable-diffusion-webui,2023-09-04,14,4.981532783852522,587.2142857142857,0.0,True,2022-10-11,47.0,1,1,1,3.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
AUTOMATIC1111/stable-diffusion-webui,2023-09-11,19,4.993647726056528,498.7368421052632,0.0,True,2022-10-11,48.0,1,1,1,3.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
AUTOMATIC1111/stable-diffusion-webui,2023-09-18,9,4.176034126331476,661.6666666666666,0.0,True,2022-10-11,49.0,1,1,1,3.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
AUTOMATIC1111/stable-diffusion-webui,2023-09-25,12,3.5920517666760965,91.33333333333333,0.0,True,2022-10-11,50.0,1,1,1,3.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
AUTOMATIC1111/stable-diffusion-webui,2023-10-02,10,2.3902991485027982,43.4,0.0,True,2022-10-11,51.0,1,1,1,3.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
AUTOMATIC1111/stable-diffusion-webui,2023-10-09,14,3.2128481284034334,309.5,0.0,True,2022-10-11,52.0,1,1,1,4.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AUTOMATIC1111/stable-diffusion-webui,2023-10-16,4,4.064620871094832,545.75,0.0,True,2022-10-11,53.0,1,1,1,4.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AUTOMATIC1111/stable-diffusion-webui,2023-10-23,10,4.500729740286364,523.2,0.0,True,2022-10-11,54.0,1,1,1,4.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AUTOMATIC1111/stable-diffusion-webui,2023-10-30,14,2.315901686167872,252.64285714285714,0.0,True,2022-10-11,55.0,1,1,1,4.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AUTOMATIC1111/stable-diffusion-webui,2023-11-06,18,3.4578157746907783,221.94444444444446,0.0,True,2022-10-11,56.0,1,1,1,4.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AUTOMATIC1111/stable-diffusion-webui,2023-11-13,9,4.410997422287842,138.77777777777777,0.0,True,2022-10-11,57.0,1,1,1,4.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
